pos_weight,threshold,use_past_y,best_val_f1
5.0,0.5,True,0.6078898548278382
5.0,0.5,False,0.5768958139150743
20.0,0.5,True,0.5446739956689627
10.0,0.5,False,0.4820577911233103
15.0,0.5,True,0.2731367704564079
15.0,0.5,False,0.23998083767571038
20.0,0.5,False,0.23233155755745277
5.0,0.1,True,0.17985445140676545
5.0,0.3,False,0.17985445140676545
10.0,0.5,True,0.17985445140676545
10.0,0.1,True,0.17985445140676545
10.0,0.1,False,0.17985445140676545
5.0,0.2,True,0.17985445140676545
5.0,0.2,False,0.17985445140676545
5.0,0.3,True,0.17985445140676545
5.0,0.1,False,0.17985445140676545
10.0,0.3,False,0.17985445140676545
10.0,0.3,True,0.17985445140676545
10.0,0.2,False,0.17985445140676545
10.0,0.2,True,0.17985445140676545
15.0,0.2,True,0.17985445140676545
15.0,0.2,False,0.17985445140676545
15.0,0.1,True,0.17985445140676545
15.0,0.1,False,0.17985445140676545
15.0,0.3,False,0.17985445140676545
15.0,0.3,True,0.17985445140676545
20.0,0.1,True,0.17985445140676545
20.0,0.1,False,0.17985445140676545
20.0,0.2,True,0.17985445140676545
20.0,0.2,False,0.17985445140676545
20.0,0.3,True,0.17985445140676545
20.0,0.3,False,0.17985445140676545
